Section,#,Test Item,Status,Tester,Date Tested,Platform,Game Mode,Notes
Critical Path,1,Create new build → Select profession → Add specializations/traits → Save,,,,,,
Critical Path,2,Select skills → Equipment → Publish to GitHub Pages,,,,,,
Critical Path,3,Load published build from link,,,,,,
Critical Path,4,Import build via chat link,,,,,,
Critical Path,5,Library folder management and drag-drop,,,,,,
1. Authentication & Onboarding,1.1,GitHub OAuth login via device flow works (device code displayed / authorization completes),,,,,,
1. Authentication & Onboarding,1.2,Logged-in user's name displays after authorization,,,,,,
1. Authentication & Onboarding,1.3,Logout works,,,,,,
1. Authentication & Onboarding,1.4,Failed authentication shows appropriate error,,,,,,
1. Authentication & Onboarding,1.5,Session persists across app restarts,,,,,,
1. Authentication & Onboarding,1.6,User can skip GitHub setup and use editor without login,,,,,,
1. Authentication & Onboarding,1.7,"GitHub repo setup creates ""axiforge"" repository and enables Pages",,,,,,
1. Authentication & Onboarding,1.8,Pages workflow deploys and triggers correctly,,,,,,
1. Authentication & Onboarding,1.9,Setup status shows clear progress and error messages,,,,,,
2. Build Editor - Profession & Metadata,2.1,"All 9 professions selectable: Guardian, Warrior, Engineer, Ranger, Thief, Elementalist, Mesmer, Necromancer, Revenant",,,,,,
2. Build Editor - Profession & Metadata,2.2,Profession catalogs load correctly for each class,,,,,,
2. Build Editor - Profession & Metadata,2.3,Profession icons display with correct styling,,,,,,
2. Build Editor - Profession & Metadata,2.4,Switching professions clears previous selections,,,,,,
2. Build Editor - Profession & Metadata,2.5,Loading skeletons appear during catalog fetches,,,,,,
2. Build Editor - Profession & Metadata,2.6,Build title input accepts up to 140 characters,,,,,,
2. Build Editor - Profession & Metadata,2.7,Build title appears in window title bar,,,,,,
2. Build Editor - Profession & Metadata,2.8,Tags input accepts comma-separated values,,,,,,
2. Build Editor - Profession & Metadata,2.9,Unsaved changes indicator (dirty dot) shows/hides correctly,,,,,,
3. Game Mode Toggle (PvE/WvW),3.1,PvE and WvW tabs toggle between game modes,,,,,,
3. Game Mode Toggle (PvE/WvW),3.2,Switching modes reloads specializations/traits with mode-appropriate data,,,,,,
3. Game Mode Toggle (PvE/WvW),3.3,Game mode preference remembered across restarts,,,,,,
3. Game Mode Toggle (PvE/WvW),3.4,Skill/trait balance splits reflect correctly per mode,,,,,,
3. Game Mode Toggle (PvE/WvW),3.5,Detail panel facts update and flash when mode changes,,,,,,
4. Specializations & Traits,4.1,Can select 0-3 specializations,,,,,,
4. Specializations & Traits,4.2,Specialization cards display with background images,,,,,,
4. Specializations & Traits,4.3,3 tier rows (Adept/Master/Grandmaster) display per specialization,,,,,,
4. Specializations & Traits,4.4,Each tier has 3 major trait options; can select 1 per tier,,,,,,
4. Specializations & Traits,4.5,Selected traits show visual indicator,,,,,,
4. Specializations & Traits,4.6,Minor traits display as read-only,,,,,,
4. Specializations & Traits,4.7,Hovering over traits shows wiki preview panel,,,,,,
4. Specializations & Traits,4.8,SVG connector lines draw between specializations,,,,,,
4. Specializations & Traits,4.9,Lines update when page becomes visible,,,,,,
4. Specializations & Traits,4.10,Lines clear when specializations are removed,,,,,,
4. Specializations & Traits,4.11,Removing a specialization clears its traits,,,,,,
5. Skills - Heal/Utility/Elite,5.1,Heal skill slot displays with correct icon,,,,,,
5. Skills - Heal/Utility/Elite,5.2,3 Utility skill slots display in order,,,,,,
5. Skills - Heal/Utility/Elite,5.3,Elite skill slot displays correctly,,,,,,
5. Skills - Heal/Utility/Elite,5.4,Skill icons load from GW2 API renders,,,,,,
5. Skills - Heal/Utility/Elite,5.5,Clicking skill slot opens picker with search,,,,,,
5. Skills - Heal/Utility/Elite,5.6,Picker filters skills by profession/mode,,,,,,
5. Skills - Heal/Utility/Elite,5.7,Selected skill updates immediately,,,,,,
5. Skills - Heal/Utility/Elite,5.8,Aquatic/underwater skill slots show when applicable,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.9,Elementalist: Attunement buttons (Fire/Water/Air/Earth) + Overload F5,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.10,Guardian: Virtue buttons (Justice/Resolve/Courage) + spec variations,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.11,Warrior: Burst skill updates based on equipped weapon,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.12,Engineer: Tool-belt skills derived from heal/utility/elite,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.13,Ranger: Pet swap commands + species skill,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.14,Revenant: Legend swap buttons (2 slots) + legend-specific skills,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.15,Thief: Steal/shadow mechanics,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.16,Necromancer: Shroud or spec-specific mechanics,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.17,Mesmer: Shatter buttons or spec-specific mechanics,,,,,,
5. Skills - Mechanic Slots (F1-F5),5.18,Mechanics update when specialization or weapon changes,,,,,,
6. Equipment - Armor,6.1,"6 armor slots display: Head, Shoulders, Chest, Hands, Legs, Feet",,,,,,
6. Equipment - Armor,6.2,Armor weight (light/medium/heavy) correct per profession,,,,,,
6. Equipment - Weapons,6.3,2 weapon sets available (mainhand/offhand per set),,,,,,
6. Equipment - Weapons,6.4,Aquatic weapons show separately,,,,,,
6. Equipment - Weapons,6.5,Weapon dropdown enforces hand restrictions,,,,,,
6. Equipment - Weapons,6.6,Weapon swaps update visible skill bar,,,,,,
6. Equipment - Weapons,6.7,Two-handed weapons disable offhand slot,,,,,,
6. Equipment - Trinkets,6.8,"Back, Amulet, 2 Rings, 2 Accessories display",,,,,,
6. Equipment - Trinkets,6.9,Trinket picker/search works,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.10,Stat combo dropdown shows all stat combinations,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.11,Stat calculations update when stat package changes,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.12,Rune slots show for armor (6 slots),,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.13,Sigil slots show for weapons,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.14,Rune/Sigil pickers have search,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.15,Infusion slots display in appropriate gear,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.16,Ring infusions allow up to 3 per ring,,,,,,
6. Equipment - Stats/Runes/Sigils/Infusions,6.17,Enrichment slot shows for amulet,,,,,,
6. Equipment - Food & Consumables,6.18,Food dropdown available with search,,,,,,
6. Equipment - Food & Consumables,6.19,Utility consumable dropdown available,,,,,,
6. Equipment - Food & Consumables,6.20,Stats update based on food/utility selection,,,,,,
6. Equipment - Assumed Boons,6.21,Might stacks selector (0-25),,,,,,
6. Equipment - Assumed Boons,6.22,Fury and Alacrity toggles,,,,,,
6. Equipment - Assumed Boons,6.23,Assumed boons persist in build,,,,,,
6. Equipment - Assumed Boons,6.24,Reset button clears assumptions,,,,,,
6. Equipment - Stats Display,6.25,"Power, Precision, Ferocity, Toughness, Vitality, Condition Damage, Expertise, Healing Power, Concentration calculate correctly",,,,,,
6. Equipment - Stats Display,6.26,"Stats break down by source (Base, Armor, Weapon, Runes, Sigils, Infusions, Food, Assumptions)",,,,,,
6. Equipment - Stats Display,6.27,Stat totals are accurate,,,,,,
6. Equipment - Stats Display,6.28,Crit chance % calculates correctly from Precision,,,,,,
7. Detail Panel & Wiki Integration,7.1,"Clicking trait/skill shows details in right panel (Name, Description, Facts)",,,,,,
7. Detail Panel & Wiki Integration,7.2,"Facts display with correct icons (boons, damage, duration)",,,,,,
7. Detail Panel & Wiki Integration,7.3,Hover preview tooltip appears and can be dismissed,,,,,,
7. Detail Panel & Wiki Integration,7.4,Expand button opens full detail modal,,,,,,
7. Detail Panel & Wiki Integration,7.5,Modal closes on Escape or close button,,,,,,
7. Detail Panel & Wiki Integration,7.6,Wiki link opens wiki page in sandboxed webview,,,,,,
